code,product_name,nutrition_grades,brands,categories,energy-kcal_100g,sugars_100g,salt_100g,fat_100g
6297000361321,,c,,"Édulcorants,Sirops,Sirops simples,Sirops de fruits,Sirops de datte",300.0,60.0,0.175,0.0
8000430132267,Mozzarella mini,c,Galbani,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages de vache, Frais, Produits pasteurisés, Fromages italiens, Fromages à pâte filée, Mozzarella, Fromages pasteurisés, Mozzarella de vache, Fromages industriels",233.0,0.5,0.75,17.0
8411859552176,Onduladas campesinas,d,Risi,"Plant-based foods and beverages, Plant-based foods, Snacks, Cereals and potatoes, Salty snacks, Appetizers, Chips and fries, Crisps, Potato crisps, Wavy potato crisps, en:flavoured-potato-crisps",549.0,1.6,0.8,34.5
8722700750185,Chicken stock cube,unknown,Knorr,"Dried products, Dried products to be rehydrated, Broths, Dehydrated broths, Bouillon cubes, Bouillon pots, Broth stock, Groceries, Poultry-stock-for-sauce-and-cooking-dehydrated",7.0,0.5,0.925,0.5
9002515600530,100% jus à base de jus concentrés et de purées,c,Pago,"Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons aux fruits, Jus et nectars, Jus de fruits, Boissons sans alcool, Jus de fruits à base de concentré, Jus multifruits, Jus multifruits à base de concentrés",,11.0,0.0,0.5
3033491402807,Activia muesli graines de chia framboise,b,"Activia, Activia yoghurt cereals/fibres, Danone","Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés aux fruits, Yaourts au Bifidus, Yaourts au bifidus aux fruits",114.0,10.6,0.11,2.6
01774207,Tomato Ketchup,c,"Sainsbury's, By Sainsbury's","Condiments, Sauces, Tomato sauces, Ketchup, Tomato Ketchup",95.0,19.9,0.97,0.5
5055940101169,Light,c,Benecol,"Plant-based foods and beverages, Plant-based foods, Fats, Spreads, Plant-based spreads, Salted spreads, Spreadable fats, Vegetable fats, Margarines, Light margarines",326.0,0.5,0.8,35.0
5011766778008,Organic Chocolate Stars,d,Freee,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, extruded cereals",405.0,24.0,0.29,4.5
5060198642289,Fennel Seed Tarallini,d,Crosta & Mollica,"snacks, salty-snacks, sweet-snacks, appetizers, biscuits-and-cakes, biscuits, da:crackers",483.0,1.35,1.1,19.0
5000169061046,Baked Beans In Tomato Sauce,a,Essential Waitrose,"Plant-based foods and beverages, Plant-based foods, Legumes and their products, Canned foods, Legumes, Canned plant-based foods, Meals, Prepared vegetables, Canned legumes, Baked beans in tomato sauce, Canned common beans, Canned white common beans",87.0,4.0,0.53,0.5
4088600157924,Basmati rice,unknown,Aldi,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Seeds, Cereals and their products, Cereal grains, Rices, Aromatic rices, Indica rices, Long grain rices, Basmati rices",134.0,0.08,,1.84
6111184007649,Biggy tasty,d,Star,sauce biggy,291.0,16.0,1.82,19.7
4088600157887,Balsamic Vinegar of Modena,not-applicable,,"Condiments,Vinegars,Balsamic vinegars,Balsamic vinegars of Modena",106.0,18.0,0.09,0.5
3019081241230,Filets de maquereaux,b,Petit Navire,"Produits de la mer, Poissons et dérivés, Conserves, Poissons, Poissons gras, Poissons en conserve, Filets de poissons, Maquereaux, Filets de maquereaux, Filets de maquereaux au vin blanc et aromates, Maquereaux en conserve",154.0,0.0,0.8,11.0
3366321052416,St hubert omega 3 bio 230 g doux,d,"St Hubert, St hubert bio, St hubert omega 3","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Matières grasses, Produits à tartiner, Pâtes à tartiner végétales, Produits à tartiner salés, Matières grasses à tartiner, Matières grasses végétales, Margarines, Margarines allégées, Margarines riche en oméga 3, en:50-63-unsalted-vegetable-fat-margarine-type-high-in-omega-3",495.0,0.0,0.45,55.0
0024000124955,Peach Slices in Juices,b,Del Monte,"Kasvipohjaiset ruoat ja juomat, Kasvipohjaiset ruoat, Purkitetut ruoat, Purkitetut kasvipohjaiset ruoat, Purkitetut hedelmät, en:Tinned peaches in juice",53.0,12.0,0.05,0.0
4056489412175,Coconut Classic,c,Vemondo,"plant-based-foods-and-beverages, dairies, fermented-foods, fermented-milk-products, dairy-substitutes, desserts, vegan-products, dairy-desserts, milk-substitutes, non-dairy-desserts, non-dairy-fermented-foods, fermented-dairy-desserts, non-dairy-yogurts, fermented-dairy-desserts-with-fruits, yogurts, fruit-yogurts, coconut-yogurts, de:fermentierte-lebensmittel, de:fermentierte-lebensmittel-ohne-milch, de:milchfreie-nachtische, de:pflanzenbasierte-joghurts, pflanzliche-lebensmittel-und-getränke",97.0,1.2,0.06,8.1
4088600190105,Salted Butter,e,Cowbelle,"Dairies, Fats, Spreads, Spreadable fats, Animal fats, Milkfat, Dairy-spread, Butters, Salted butters",745.0,0.7,1.48,82.0
3046920028424,CARAMEL,e,Lindt,"Snacks, Sweet snacks, Cocoa and its products, Chocolates, Dark chocolates, Dark chocolate bar",520.0,52.0,0.3925,29.0
5060360506128,Gut Health Strawberry,c,"Danone,Activia","Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Fermented dairy desserts with fruits, Yogurts, Fruit yogurts, Bifidus yogurts, Fruit bifidus yogurts, Strawberry yogurts",90.0,11.8,0.14,2.8
5060853640032,Original Gut-Loving Prebiotic* Yoghurt,c,Bio & Me,"Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts",80.0,7.2,0.1875,3.1
00427920,Black beans in water,a,Sainsburys,"Plant-based foods and beverages, Plant-based foods, Legumes and their products, Canned foods, Legumes, Seeds, Canned plant-based foods, Legume seeds, Pulses, Common beans, Canned legumes, Black beans, Canned black beans, Canned common beans, Black-beans-in-water",106.0,0.5,0.02,0.8
5059697256110,Mayonnaise,d,Tesco,"Condiments, Sauces, Mayonnaises",670.0,1.3,1.0,73.2
